2012-03-12 11:41:16.430938,2012-03-13 01:37:12.351386,13:55:55.920448
2012-03-13 12:39:41.256647,2012-03-13 12:40:24.345545,0:00:43.088898
2012-03-13 12:40:52.618353,2012-03-13 14:28:05.303043,1:47:12.684690
2012-03-13 16:27:11.019119,2012-03-13 16:32:08.698914,0:04:57.679795
2012-03-13 16:32:22.277634,2012-03-13 21:10:57.805057,4:38:35.527423
2012-03-13 22:25:50.297601,2012-03-13 22:30:24.793343,0:04:34.495742
2012-03-13 22:30:32.706832,2012-03-14 02:13:18.519182,3:42:45.812350
2012-03-14 11:11:48.158595,2012-03-14 11:12:50.606232,0:01:02.447637
2012-03-14 11:12:59.379740,2012-03-14 13:09:45.483057,1:56:46.103317
2012-03-14 15:20:51.755403,2012-03-15 01:36:32.193578,10:15:40.438175
2012-03-15 12:27:43.766210,2012-03-15 12:27:48.474464,0:00:04.708254
2012-03-15 12:28:24.433526,2012-03-15 16:40:23.610686,4:11:59.177160
2012-03-15 18:51:02.294547,2012-03-16 00:40:43.456861,5:49:41.162314
2012-03-16 19:31:48.936744,2012-03-16 19:31:54.262047,0:00:05.325303
2012-03-16 19:32:30.486797,2012-03-16 19:38:11.098815,0:05:40.612018
2012-03-16 19:48:46.357138,2012-03-16 19:48:48.485479,0:00:02.128341
2012-03-16 19:49:17.352074,2012-03-17 02:30:33.470614,6:41:16.118540
2012-03-17 13:26:32.794098,2012-03-17 13:26:34.013615,0:00:01.219517
2012-03-17 13:26:49.444754,2012-03-17 14:13:19.983557,0:46:30.538803
2012-03-17 14:18:38.847790,2012-03-17 14:22:07.043120,0:03:28.195330
2012-03-17 14:23:00.320652,2012-03-17 14:29:30.822572,0:06:30.501920
2012-03-17 19:18:21.686635,2012-03-17 19:23:36.148451,0:05:14.461816
2012-03-17 19:24:07.164114,2012-03-17 20:19:43.058320,0:55:35.894206
2012-03-17 22:35:17.271736,2012-03-17 22:35:27.286150,0:00:10.014414
2012-03-17 22:35:48.131173,2012-03-17 23:12:35.075186,0:36:46.944013
2012-03-17 23:14:26.422588,2012-03-17 23:14:28.425403,0:00:02.002815
2012-03-17 23:14:46.941911,2012-03-18 01:20:54.294019,2:06:07.352108
2012-03-18 10:56:41.500407,2012-03-18 10:56:47.692775,0:00:06.192368
2012-03-18 10:57:02.199666,2012-03-18 18:33:19.605318,7:36:17.405652
2012-03-18 18:38:48.363825,2012-03-18 18:40:12.974601,0:01:24.610776
2012-03-18 18:48:09.497562,2012-03-18 18:51:09.312338,0:02:59.814776
2012-03-18 18:52:40.972550,2012-03-19 00:36:14.083784,5:43:33.111234
